Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Pos
474,Mikael Ellertsson,2.1,2024-2025,22,is ISL,Venezia,it Serie A,36,2470,27.4,29,7,1,0.1,0.1,0.1,0.1,0,0,0,2.1,0.9,1.3,0.5,0.3,1.2,2.2,54.1,1,1.5,0.2,1.3,0.6,2.7,2.9,0,"DF,MF"
475,Rasmus Kristensen,2.1,2024-2025,27,dk DEN,Eint Frankfurt,de Bundesliga,30,2513,27.9,28,2,0,0.2,0.1,0.3,0.2,0,0,0,2.1,1.2,1.3,0.6,0.2,1.4,2.4,59.7,1,1.8,0.5,1.3,0.7,2.8,3.5,0,DF
476,Bryan Cristante,2.1,2024-2025,29,it ITA,Roma,it Serie A,30,2045,22.7,23,7,0,0.2,0.1,0.3,0.2,0,0,0,2.1,1.3,0.8,1.1,0.3,0.7,1.1,57.7,0.5,0.9,0.4,0.4,0.8,2.9,1.6,0,MF
477,Mattia De Sciglio,2.1,2024-2025,31,it ITA,Empoli,it Serie A,16,769,8.5,7,9,16,0.1,0,0.1,0.1,0,0,0,2.1,1.5,1.2,0.9,0,1.6,2,82.4,0.4,1.2,0.4,0.8,0.9,3,4.1,0.1,DF
478,Joe Aribo,2.1,2024-2025,28,ng NGA,Southampton,eng Premier League,32,2013,22.4,21,11,6,0.1,0,0.1,0.1,0,0,0,2.1,1.5,0.8,1.1,0.3,0.8,1.6,48.6,0.8,1.3,0.5,0.8,0.9,3,1.4,0.1,"MF,DF"
479,Arthur Chaves,2.1,2024-2025,23,br BRA,Hoffenheim,de Bundesliga,26,2185,24.3,24,2,2,0,0,0,0,0,0,0,2.1,1.5,1.2,0.8,0.2,1,2.1,50,1,1.9,0.8,1.1,1.5,3.6,5.6,0.1,DF
480,Toti Gomes,2.1,2024-2025,25,pt POR,Wolves,eng Premier League,31,2614,29,30,1,1,0,0,0,0,0,0,0,2.1,1.5,1.4,0.5,0.1,1.3,1.6,80.4,0.3,1,0.6,0.4,0.9,3,5.2,0.2,DF
481,Giovani Lo Celso,2.1,2024-2025,28,ar ARG,Betis,es La Liga,25,1457,16.2,15,10,0,0.5,0.2,0.7,0.4,0.1,0.2,0.1,2.1,1.4,0.5,1.1,0.6,1.1,1.5,68,0.5,0.9,0.1,0.7,0.3,2.4,0.2,0.1,"MF,FW"
482,Brajan Gruda,2.1,2024-2025,20,de GER,Brighton,eng Premier League,21,687,7.6,8,13,7,0.1,0.5,0.7,0.1,0,0,0,2.1,1,0.8,0.8,0.5,0.9,1.8,50,0.9,1,0,1,0.3,2.4,0.7,0.1,"MF,FW"
483,Juan Jesus,2.1,2024-2025,33,br BRA,Napoli,it Serie A,15,1074,11.9,12,3,18,0,0.1,0.1,0,0,0,0,2.1,1.2,1.3,0.8,0,1,1.7,60,0.7,1.3,0.3,1,0.8,2.8,3.5,0,DF
484,Jean-Ricner Bellegarde,2.1,2024-2025,26,ht HAI,Wolves,eng Premier League,35,1677,18.6,20,15,2,0.1,0.4,0.5,0.1,0,0,0,2.1,1.3,0.9,1,0.2,0.8,1.1,70,0.3,1,0.2,0.9,0.5,2.6,1,0.1,"MF,FW"
485,Jack Taylor,2.1,2024-2025,26,ie IRL,Ipswich Town,eng Premier League,32,860,9.6,4,28,1,0.1,0,0.1,0.1,0,0,0,2.1,1,0.6,1.2,0.3,1.3,2.8,44.4,1.6,1.3,0.3,0.9,0.9,3,2.5,0,MF
486,Santiago Mouriño,2.1,2024-2025,22,uy URU,Alavés,es La Liga,25,1849,20.5,20,5,7,0,0,0,0,0,0,0,2.1,1.4,1.5,0.6,0,1,1.8,55.3,0.8,1.3,0.6,0.7,1.4,3.5,5.8,0,DF
487,Achraf Hakimi,2.1,2024-2025,25,ma MAR,Paris S-G,fr Ligue 1,25,2066,23,24,1,2,0.2,0.3,0.4,0.2,0,0,0,2.1,1.6,0.8,0.9,0.4,1.2,2.4,49.1,1.2,1.1,0.1,1,1.4,3.4,0.8,0.1,DF
488,Davide Calabria,2.1,2024-2025,27,it ITA,2 Teams,it Serie A,18,948,10.5,11,7,11,0,0.1,0.1,0,0,0,0,2.1,1.4,1.4,0.5,0.2,0.9,1.8,47.4,0.9,0.5,0,0.5,1,3.1,2.8,0.1,DF
489,Andrei Ratiu,2.1,2024-2025,26,ro ROU,Rayo Vallecano,es La Liga,35,3065,34.1,34,1,1,0.1,0.1,0.1,0.1,0,0,0,2.1,1.2,1.2,0.6,0.3,1.2,2.1,60,0.8,1.3,0.1,1.2,0.8,2.9,2.1,0.1,DF
