,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
Rk,Player,Cmp/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp/90,Att,Cmp%,KP,03-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos
466,André,45.4,2024-2025,23,br BRA,Wolves,eng Premier League,33,2472,27.5,31,2,2,0,0,0,0,0,0,0,45.4,48.9,92.9,0.7,4,0.2,0,4,715.8,199.2,23.5,24.6,95.4,17.3,18.2,95,2.9,3.6,81.6,MF
467,Jordan Teze,45.4,2024-2025,24,nl NED,Monaco,fr Ligue 1,16,569,6.3,8,8,3,0.2,0,0.2,0.2,0,0,0,45.4,57.4,79.1,2.1,4.4,1.4,0.5,4.9,768.4,294.2,20.7,23.6,87.9,21.8,26.9,81.2,2.7,4.6,58.6,DF
468,Joe Scally,45.4,2024-2025,21,us USA,Gladbach,de Bundesliga,32,2578,28.6,30,2,1,0,0,0,0,0,0,0,45.4,54.4,83.4,0.4,2.1,0.5,0.2,2.4,736.3,231.5,22.8,24.6,92.6,19.1,21.9,87.2,2.6,5.2,50,DF
469,Lamare Bogarde,45.4,2024-2025,20,nl NED,Aston Villa,eng Premier League,8,476,5.3,5,3,14,0,0,0,0,0,0,0,45.4,51.4,88.2,0.4,4.5,0.2,0,2.6,696.2,218.2,24.4,26.3,92.8,20.2,21.9,92.2,0.6,1.7,33.3,"DF,MF"
470,Adrien Thomasson,45.4,2024-2025,30,fr FRA,Lens,fr Ligue 1,33,2615,29.1,31,2,0,0.1,0.2,0.3,0.1,0,0,0,45.4,55.5,81.8,1.9,3.4,1,0.2,5.1,708.8,175.6,24,27.2,88.1,16.2,19.3,84.1,3.3,4.9,68.3,MF
471,Antonee Robinson,45.3,2024-2025,26,us USA,Fulham,eng Premier League,36,3167,35.2,35,1,0,0,0.3,0.3,0,0,0,0,45.3,59,76.8,1.2,3.3,1.6,0.8,3.7,778.2,284.7,21.7,25,86.6,19.3,24.2,79.5,3.8,6.8,56.1,DF
472,Rasmus Kristensen,45.2,2024-2025,27,dk DEN,Eint Frankfurt,de Bundesliga,30,2513,27.9,28,2,0,0.2,0.1,0.3,0.2,0,0,0,45.2,58.2,77.7,0.7,4.8,1.3,0.3,6.2,740.8,300.1,23.7,26.3,90.3,17.5,22.3,78.4,3.3,6.6,49.5,DF
473,Javi Sánchez,45.1,2024-2025,27,es ESP,Valladolid,es La Liga,25,2026,22.5,25,0,1,0.1,0,0.1,0.1,0,0,0,45.1,51.7,87.3,0.3,1.9,0,0,1.5,904.7,336,14,14.7,95.2,25.9,27.2,95.1,5,8.7,57.1,DF
474,Luca Ranieri,45.1,2024-2025,25,it ITA,Fiorentina,it Serie A,36,3071,34.1,35,1,0,0,0.1,0.1,0,0,0,0,45.1,52.8,85.4,0.5,2.5,0.3,0.1,2.3,849.9,308.4,16.7,17.8,94.1,22.9,24.6,92.9,4.9,8.7,56.1,DF
475,Martín Zubimendi,45,2024-2025,25,es ESP,Real Sociedad,es La Liga,36,2962,32.9,33,3,0,0.1,0,0.1,0.1,0,0,0,45,53.8,83.6,0.6,5.2,0.7,0,5.9,770,223.7,20.8,23.7,87.7,19.9,22.5,88.4,3.5,5.4,64.4,MF
476,Saidou Sow,45,2024-2025,22,gn GUI,2 Teams,fr Ligue 1,21,1817,20.2,20,1,5,0,0,0.1,0,0,0,0,45,51.3,87.8,0.2,1.6,0.1,0,1.5,822.3,291.8,15.9,16.6,95.5,25.5,27,94.3,3.2,6.7,48.1,DF
477,Moi Gómez,45,2024-2025,30,es ESP,Osasuna,es La Liga,26,796,8.8,6,20,10,0,0,0,0,0,0,0,45,55.9,80.6,1.2,5.2,1.5,1,5.5,747.6,198.5,23.1,25.9,89.1,16.4,19.2,85.3,4.1,6.8,60,"MF,FW"
478,Senny Mayulu,45,2024-2025,18,fr FRA,Paris S-G,fr Ligue 1,20,808,9,8,12,9,0.2,0.2,0.4,0.2,0,0,0,45,51.2,87.8,1.3,3.6,1.6,0.1,5.1,698.2,116.4,23.7,26.1,91,16.5,17.8,92.5,2.8,3.2,86.2,MF
479,Ramon Hendriks,44.9,2024-2025,23,nl NED,Stuttgart,de Bundesliga,25,1154,12.8,10,15,8,0,0.1,0.1,0,0,0,0,44.9,53.7,83.7,0.5,3.4,0.4,0.2,2.8,749.8,280.7,23.2,24.6,94.3,18.2,21,87,2.8,6.2,45.6,DF
480,Nathan Collins,44.9,2024-2025,23,ie IRL,Brentford,eng Premier League,38,3420,38,38,0,0,0.1,0.1,0.1,0.1,0,0,0,44.9,52.2,85.9,0.3,2.9,0.2,0.1,3.3,863.8,284.2,14.7,16.7,87.7,26,28.1,92.6,3.8,6.3,60.7,DF
481,Craig Dawson,44.9,2024-2025,34,eng ENG,Wolves,eng Premier League,15,971,10.8,10,5,6,0,0,0,0,0,0,0,44.9,51.8,86.6,0.2,2,0.1,0,1.9,903.2,294.7,13.8,14.9,92.5,24.7,26.6,93,5.3,8.8,60,DF
482,Fali Candé,44.8,2024-2025,26,gw GNB,Venezia,it Serie A,17,1530,17,17,0,0,0.1,0.1,0.1,0.1,0,0,0,44.8,55.2,81,0.2,3.5,0.2,0.1,2.8,770.1,308.2,21.1,22.2,95,19.4,22.7,85.2,3.9,8.7,44.6,DF
483,Oscar Højlund,44.8,2024-2025,19,dk DEN,Eint Frankfurt,de Bundesliga,20,722,8,7,13,3,0.1,0,0.1,0.1,0,0,0,44.8,50.9,88,0.7,3.7,0.5,0,6.1,676.1,203.3,24.2,25.6,94.6,17.1,19.4,87.8,1.6,2.7,59.1,MF
484,Zeki Çelik,44.7,2024-2025,27,tr TUR,Roma,it Serie A,31,2256,25.1,27,4,3,0,0.1,0.1,0,0,0,0,44.7,54.4,82.2,0.8,4.4,0.6,0.4,4.2,740.1,258.9,20.4,22.7,90,20.3,23.9,85,2.9,5.3,55.3,DF
